iter	Passed	Remaining
738	14528	5131
739	14558	5115
740	14577	5095
741	14602	5077
742	14632	5061
743	14651	5041
744	14677	5023
745	14696	5003
746	14714	4983
747	14730	4962
748	14749	4942
749	14772	4924
750	14794	4905
751	14813	4885
752	14842	4868
753	14864	4849
754	14893	4833
755	14916	4814
756	14945	4797
757	14974	4780
758	14996	4761
759	15025	4744
760	15054	4728
761	15078	4709
762	15098	4689
763	15126	4672
764	15155	4655
765	15185	4638
766	15206	4619
767	15230	4600
768	15242	4578
769	15258	4557
770	15272	4536
771	15286	4514
772	15301	4493
773	15317	4472
774	15333	4451
775	15345	4429
776	15358	4407
777	15371	4386
778	15387	4365
779	15405	4345
780	15419	4323
781	15432	4302
782	15447	4281
783	15460	4259
784	15473	4237
785	15487	4216
786	15502	4195
787	15517	4174
788	15533	4154
789	15551	4133
790	15568	4113
791	15588	4094
792	15613	4075
793	15630	4055
794	15647	4034
795	15665	4014
796	15682	3994
797	15701	3974
798	15720	3954
799	15746	3936
800	15769	3917
801	15792	3898
802	15812	3879
803	15833	3859
804	15860	3841
805	15882	3822
806	15909	3804
807	15929	3785
808	15952	3766
809	15979	3748
810	16002	3729
811	16018	3708
812	16034	3688
813	16060	3669
814	16081	3650
815	16098	3630
816	16116	3609
817	16130	3588
818	16144	3568
819	16161	3547
820	16176	3526
821	16190	3505
822	16205	3485
823	16216	3463
824	16229	3442
825	16244	3421
826	16258	3401
827	16272	3380
828	16288	3359
829	16307	3340
830	16322	3319
831	16337	3299
832	16355	3278
833	16370	3258
834	16388	3238
835	16405	3218
836	16424	3198
837	16443	3178
838	16461	3158
839	16479	3139
840	16496	3118
841	16513	3098
842	16530	3078
843	16547	3058
844	16560	3037
845	16573	3017
846	16587	2996
847	16602	2975
848	16619	2955
849	16634	2935
850	16649	2915
851	16664	2894
852	16678	2874
853	16693	2853
854	16705	2833
855	16731	2814
856	16751	2795
857	16770	2775
858	16789	2755
859	16811	2736
860	16827	2716
861	16844	2696
862	16862	2676
863	16882	2657
864	16900	2637
865	16919	2618
866	16937	2598
867	16957	2578
868	16970	2558
869	16985	2538
870	17001	2517
871	17015	2497
872	17031	2477
873	17046	2457
874	17068	2438
875	17083	2418
876	17107	2399
877	17119	2378
878	17148	2360
879	17166	2340
880	17183	2321
881	17198	2300
882	17212	2280
883	17225	2260
884	17242	2240
885	17262	2221
886	17279	2201
887	17303	2182
888	17323	2162
889	17342	2143
890	17359	2123
891	17378	2104
892	17397	2084
893	17415	2064
894	17434	2045
895	17453	2025
896	17470	2006
897	17485	1986
898	17501	1966
899	17518	1946
900	17537	1927
901	17556	1907
902	17583	1888
903	17605	1869
904	17623	1850
905	17646	1830
906	17666	1811
907	17684	1791
908	17705	1772
909	17724	1752
910	17749	1734
911	17770	1714
912	17790	1695
913	17811	1675
914	17830	1656
915	17849	1636
916	17868	1617
917	17890	1598
918	17907	1578
919	17923	1558
920	17942	1539
921	17961	1519
922	17997	1501
923	18019	1482
924	18060	1464
925	18097	1446
926	18120	1426
927	18138	1407
928	18157	1387
929	18173	1367
930	18193	1348
931	18210	1328
932	18227	1308
933	18242	1289
934	18258	1269
935	18272	1249
936	18287	1229
937	18304	1209
938	18320	1190
939	18335	1170
940	18351	1150
941	18372	1131
942	18392	1111
943	18417	1092
944	18438	1073
945	18461	1053
946	18485	1034
947	18506	1015
948	18525	995
949	18544	976
950	18565	956
951	18590	937
952	18621	918
953	18645	899
954	18666	879
955	18684	859
956	18698	840
957	18713	820
958	18724	800
959	18737	780
960	18752	761
961	18765	741
962	18783	721
963	18801	702
964	18821	682
965	18836	662
966	18855	643
967	18876	624
968	18897	604
969	18918	585
970	18940	565
971	18959	546
972	18978	526
973	18996	507
974	19020	487
975	19043	468
976	19059	448
977	19078	429
978	19092	409
979	19108	389
980	19122	370
981	19132	350
982	19145	331
983	19158	311
984	19174	292
985	19194	272
986	19210	253
987	19226	233
988	19244	214
989	19269	194
990	19287	175
991	19305	155
992	19323	136
993	19350	116
994	19370	97
995	19387	77
996	19408	58
997	19431	38
998	19451	19
999	19483	0
